mode	family	name	batch	calls	repetition	ns_per_call	checksum_re	checksum_im
SAME	B0	B0_scaleless	1024	1025	1	318.5375609756098	0.0	0.0
SAME	B0	B0_scaleless	1024	1025	2	307.4839024390244	0.0	0.0
SAME	B0	B0_scaleless	1024	1025	3	310.35219512195124	0.0	0.0
SAME	B0	B0_timelike_mu_0.01	1024	1025	1	407.1131707317073	-3441.317572762183	1301.130003317807
SAME	B0	B0_timelike_mu_0.01	1024	1025	2	395.34731707317076	-3441.317572762183	1301.130003317807
SAME	B0	B0_timelike_mu_0.01	1024	1025	3	410.45073170731706	-3441.317572762183	1301.130003317807
SAME	B0	B0_timelike_mu_10000	1024	1025	1	395.73853658536586	10719.580749151197	1301.130003317807
SAME	B0	B0_timelike_mu_10000	1024	1025	2	404.44975609756096	10719.580749151197	1301.130003317807
SAME	B0	B0_timelike_mu_10000	1024	1025	3	392.0790243902439	10719.580749151197	1301.130003317807
HETERO	B0	all	1024	1025	1	507.1726829268293	1458.9975746536445	574.7348032789171
HETERO	B0	all	1024	1025	2	495.4848780487805	1458.9975746536445	574.7348032789171
HETERO	B0	all	1024	1025	3	493.9531707317073	1458.9975746536445	574.7348032789171
SAME	dB0	dB0_euclidean	1024	1025	1	444.3141463414634	108.0325236577538	0.0
SAME	dB0	dB0_euclidean	1024	1025	2	447.7180487804878	108.0325236577538	0.0
SAME	dB0	dB0_euclidean	1024	1025	3	452.44975609756096	108.0325236577538	0.0
SAME	dB0	dB0_timelike	1024	1025	1	452.030243902439	-269.54736288572224	464.6892868992168
SAME	dB0	dB0_timelike	1024	1025	2	464.2946341463415	-269.54736288572224	464.6892868992168
SAME	dB0	dB0_timelike	1024	1025	3	455.8068292682927	-269.54736288572224	464.6892868992168
SAME	dB0	dB0_complex	1024	1025	1	536.9580487804878	441.5909527830926	67.01991110917871
SAME	dB0	dB0_complex	1024	1025	2	538.2556097560976	441.5909527830926	67.01991110917871
SAME	dB0	dB0_complex	1024	1025	3	528.1580487804878	441.5909527830926	67.01991110917871
SAME	dB0	dB0_one_massless_onshell	1024	1025	1	354.77170731707315	-334.881034981514	0.0
SAME	dB0	dB0_one_massless_onshell	1024	1025	2	353.1434146341463	-334.881034981514	0.0
SAME	dB0	dB0_one_massless_onshell	1024	1025	3	369.5141463414634	-334.881034981514	0.0
SAME	dB0	dB0_timelike_mu_0.01	1024	1025	1	456.6839024390244	-269.54736288572224	464.6892868992168
SAME	dB0	dB0_timelike_mu_0.01	1024	1025	2	468.1482926829268	-269.54736288572224	464.6892868992168
SAME	dB0	dB0_timelike_mu_0.01	1024	1025	3	458.88975609756096	-269.54736288572224	464.6892868992168
SAME	dB0	dB0_timelike_mu_10000	1024	1025	1	466.7141463414634	-269.54736288572224	464.6892868992168
SAME	dB0	dB0_timelike_mu_10000	1024	1025	2	456.9765853658537	-269.54736288572224	464.6892868992168
SAME	dB0	dB0_timelike_mu_10000	1024	1025	3	462.1473170731707	-269.54736288572224	464.6892868992168
HETERO	dB0	all	1024	1025	1	676.0702439024391	-98.81687054433556	243.2988484800669
HETERO	dB0	all	1024	1025	2	678.2556097560976	-98.81687054433556	243.2988484800669
HETERO	dB0	all	1024	1025	3	670.6956097560976	-98.81687054433556	243.2988484800669
SAME	C0	C0_real_euclidean	1024	1025	1	632271.4575609756	-244.7553683515703	2.126354952922157e-12
SAME	C0	C0_real_euclidean	1024	1025	2	637658.2487804878	-244.7553683515703	2.126354952922157e-12
SAME	C0	C0_real_euclidean	1024	1025	3	629779.5073170732	-244.7553683515703	2.126354952922157e-12
SAME	C0	C0_real_timelike	1024	1025	1	243389.8663414634	-531.6144938643004	-634.7754223518014
SAME	C0	C0_real_timelike	1024	1025	2	266911.6136585366	-531.6144938643004	-634.7754223518014
SAME	C0	C0_real_timelike	1024	1025	3	312120.21073170734	-531.6144938643004	-634.7754223518014
SAME	C0	C0_complex	1024	1025	1	711576.476097561	-1782.3002243025253	-184.94631355596542
SAME	C0	C0_complex	1024	1025	2	710208.9892682927	-1782.3002243025253	-184.94631355596542
SAME	C0	C0_complex	1024	1025	3	715384.92	-1782.3002243025253	-184.94631355596542
SAME	C0	C0_massless_ir	1024	1025	1	629.9931707317073	-2529.086127779148	0.0
SAME	C0	C0_massless_ir	1024	1025	2	618.060487804878	-2529.086127779148	0.0
SAME	C0	C0_massless_ir	1024	1025	3	628.2751219512195	-2529.086127779148	0.0
SAME	C0	C0_complex_mu_0.01	1024	1025	1	709921.6507317073	-1782.3002243025253	-184.94631355596542
SAME	C0	C0_complex_mu_0.01	1024	1025	2	711438.3004878049	-1782.3002243025253	-184.94631355596542
SAME	C0	C0_complex_mu_0.01	1024	1025	3	709652.0107317073	-1782.3002243025253	-184.94631355596542
SAME	C0	C0_complex_mu_10000	1024	1025	1	710551.6331707317	-1782.3002243025253	-184.94631355596542
SAME	C0	C0_complex_mu_10000	1024	1025	2	713600.5902439024	-1782.3002243025253	-184.94631355596542
SAME	C0	C0_complex_mu_10000	1024	1025	3	710595.8673170732	-1782.3002243025253	-184.94631355596542
